ID1	ZAVSIF	ZAVKATEGNAC	PREDMETNIK	ZAVSIFMAT	ID	MAT_ID	PROGRAM_ID	RAZRED	RAZRED_OZNAKA	DELEZ	ST_UC	ST_DEK	ST_ROM	ST_ODL_USM	ST_OPB	JEZIK_1	JEZIK_2	REGIJA	TIP
continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	string
																		class	meta
243.0	242.0	2010.0	A	122.0	1046461.0	1046460.0	3813.0	14.0	3. razred	0.0	5.0	1.0	1.0	0.0	0.0	1.0	1487.0	Spodnjeposavska	2.0
244.0	208.0	2010.0	A	122.0	1046462.0	1046460.0	3813.0	15.0	4. razred	0.0	5.0	3.0	2.0	0.0	0.0	1.0	1487.0	Jugovzhodna Slovenija	2.0
246.0	504.0	2010.0	A	122.0	1043948.0	1043948.0	3803.0	20.0	Č	1.0	25.0	14.0	0.0	2.0	0.0	1487.0	0.0	Savinjska	1.0
247.0	1370.0	2010.0	A	124.0	1041363.0	1041363.0	3803.0	16.0	A	1.0	26.0	13.0	0.0	3.0	14.0	1487.0	0.0	Gorenjska	1.0
248.0	1371.0	2010.0	A	124.0	1041353.0	1041353.0	3803.0	14.0	A	1.0	16.0	8.0	0.0	1.0	15.0	0.0	0.0	Gorenjska	1.0
249.0	224.0	2010.0	A	124.0	1041354.0	1041354.0	3803.0	14.0	B	1.0	16.0	8.0	0.0	0.0	14.0	0.0	0.0	Gorenjska	1.0
250.0	978.0	2010.0	A	124.0	1041366.0	1041366.0	3803.0	17.0	A	1.0	16.0	9.0	0.0	1.0	0.0	1487.0	0.0	Gorenjska	1.0
251.0	976.0	2010.0	A	124.0	1041367.0	1041367.0	3803.0	17.0	B	1.0	17.0	8.0	0.0	2.0	0.0	1487.0	0.0	Gorenjska	1.0
252.0	1358.0	2010.0	A	124.0	1041369.0	1041369.0	3803.0	18.0	A	1.0	27.0	15.0	0.0	1.0	0.0	1487.0	0.0	Gorenjska	1.0
253.0	977.0	2010.0	A	124.0	1041373.0	1041373.0	3803.0	20.0	A	1.0	26.0	11.0	0.0	1.0	0.0	1487.0	0.0	Gorenjska	1.0
256.0	225.0	2010.0	A	124.0	1041352.0	1041352.0	3803.0	13.0	A	1.0	21.0	8.0	0.0	2.0	20.0	0.0	0.0	Gorenjska	1.0
257.0	987.0	2010.0	A	124.0	1041358.0	1041358.0	3803.0	15.0	A	1.0	19.0	11.0	0.0	1.0	12.0	1487.0	0.0	Gorenjska	1.0
258.0	990.0	2010.0	A	124.0	1041360.0	1041360.0	3803.0	15.0	B	1.0	16.0	11.0	0.0	1.0	12.0	1487.0	0.0	Gorenjska	1.0
259.0	991.0	2010.0	A	124.0	1041372.0	1041372.0	3803.0	19.0	A	1.0	25.0	9.0	0.0	5.0	0.0	1487.0	0.0	Gorenjska	1.0
260.0	222.0	2010.0	A	124.0	1041351.0	1041351.0	3803.0	12.0	A	1.0	25.0	10.0	0.0	1.0	25.0	0.0	0.0	Gorenjska	1.0
263.0	223.0	2010.0	A	125.0	1036402.0	1036402.0	3803.0	12.0	A	1.0	13.0	10.0	0.0	0.0	13.0	0.0	0.0	Gorenjska	1.0
264.0	1207.0	2010.0	A	125.0	1036404.0	1036404.0	3803.0	13.0	A	1.0	12.0	6.0	0.0	0.0	12.0	0.0	0.0	Gorenjska	1.0
265.0	1208.0	2010.0	A	125.0	1036405.0	1036405.0	3803.0	14.0	A	1.0	11.0	10.0	0.0	0.0	11.0	0.0	0.0	Gorenjska	1.0
266.0	332.0	2010.0	A	125.0	1036411.0	1036411.0	3803.0	20.0	A	1.0	15.0	8.0	0.0	2.0	0.0	1487.0	0.0	Pomurska	1.0
267.0	238.0	2010.0	A	125.0	1036407.0	1036407.0	3803.0	16.0	A	1.0	13.0	9.0	0.0	3.0	12.0	1487.0	0.0	Spodnjeposavska	1.0
268.0	239.0	2010.0	A	125.0	1036408.0	1036408.0	3803.0	17.0	A	1.0	12.0	6.0	0.0	0.0	0.0	1487.0	0.0	Spodnjeposavska	1.0
269.0	240.0	2010.0	A	125.0	1036409.0	1036409.0	3803.0	18.0	A	1.0	12.0	3.0	0.0	1.0	0.0	1487.0	0.0	Spodnjeposavska	1.0
270.0	234.0	2010.0	A	125.0	1036410.0	1036410.0	3803.0	19.0	A	1.0	19.0	8.0	0.0	1.0	0.0	1487.0	0.0	Spodnjeposavska	1.0
